product_id,nlp_vector
24650,"name Ontbijtgranen, granola amendelen en bosbessen name_search ontbijtgranen, granola amendelen en bosbessen synonyms granola, ontbijtgranen brands Delhaize brands_search delhaize bron Delhaize categories aardappelen en graanproducten"
24651,"name Ontbijtgranen, granola super berry name_search ontbijtgranen, granola super berry synonyms granola, ontbijtgranen brands Jordanâ€™s brands_search jordans bron Jordaens categories aardappelen en graanproducten"
24652,"name Ontbijtgranen, muesli appel & banaan bio name_search ontbijtgranen, muesli appel & banaan bio synonyms bio, muesli, ontbijtgranen bron Delhaize categories aardappelen en graanproducten"
24653,"name Ontbijtgranen, nat beer chocolade name_search ontbijtgranen, nat beer chocolade synonyms ontbijtgranen brands NestlÃ© brands_search nestle bron NestlÃ© categories aardappelen en graanproducten"
24654,"name Granola dark chocolade & fleur de sel name_search granola dark chocolade & fleur de sel synonyms granola, ontbijtgranen brands Bamboo-Goodness brands_search bamboo-goodness bron Bamboo-Goodness categories aardappelen en graanproducten"
24655,"name Buckwheat crispbread name_search buckwheat crispbread synonyms cracker, glutenvrij, toast brands Amisa brands_search amisa bron Amisa categories aardappelen en graanproducten"
24656,name Cracotte chocolade name_search cracotte chocolade synonyms cracotte brands LU brands_search lu bron LU categories aardappelen en graanproducten
24657,"name Dip toast name_search dip toast synonyms cracker, toast brands Haust brands_search haust bron Haust categories aardappelen en graanproducten"
24658,"name Rijstwafel, brown rice rolls name_search rijstwafel, brown rice rolls synonyms koek, koeken, rijstkoek brands Rice Up brands_search rice up bron Rice Up categories extra"
24659,"name Rijstwafel, brown rice cakes met chocolade name_search rijstwafel, brown rice cakes met chocolade synonyms koek, koeken, rijstkoek brands Rice Up brands_search rice up bron Rice Up categories extra"
24660,"name Rijstwafel met chocolade name_search rijstwafel met chocolade synonyms koek, koeken, rijstkoek brands Rice Up brands_search rice up bron Rice Up categories extra"
24661,"name Bosto Rijstwafel met pure chocolade name_search bosto rijstwafel met pure chocolade remarks Bosto Tartinettes au chocolat fondant synonyms galette au riz, koek, koeken, rijstkoek brands Bosto brands_search bosto bron Bosto categories extra"
24662,"name Rijstwafel Bio Carrefour  zwarte chocolade en geraspte kokos name_search rijstwafel bio carrefour  zwarte chocolade en geraspte kokos synonyms koek, koeken, rijstkoek brands Carrefour brands_search carrefour bron Carrefour categories extra"
24663,"name Peperkoek name_search peperkoek remarks Pain d'epices synonyms granenreep, koek brands Meli brands_search meli bron Meli categories extra"
24664,"name Pim's orange sinaasappel name_search pims orange sinaasappel remarks Pim's orange synonyms koek, zachte koek brands LU brands_search lu bron LU categories extra"
24665,"name Cake, LU beertje aardbeien name_search cake, lu beertje aardbeien remarks Gateaux, LULU ourson fraise synonyms cake, gebak, koek brands LU brands_search lu bron LU categories extra"
24666,"name Cake, beertje chocolade name_search cake, beertje chocolade remarks Lulu L'ourson chocolat synonyms cake, gebak, koek brands LU brands_search lu bron LU categories extra"
24667,"name Cake Zebra original name_search cake zebra original remarks Cake Zebra original synonyms cake, gebak, koek brands Lotus brands_search lotus bron Lotus categories extra"
24668,"name Frangipane, TartÃ©lice appel name_search frangipane, tartelice appel synonyms cake, gebak, koek brands Lotus brands_search lotus bron Lotus categories extra"
24669,"name gebak-taart, gemiddeld synonyms dessert, gebak, nagerecht, taart bron Nubel (berekend)"
24670,"name Koek, biscuit gekarameliseerd name_search koek, biscuit gekarameliseerd synonyms koek brands Lotus brands_search lotus bron Lotus categories extra"
24671,"name BE-kind granenreep met chocolade, noten en zeezout name_search be-kind granenreep met chocolade, noten en zeezout synonyms granenreep, koek brands BE-kind brands_search be-kind bron BE-kind categories extra"
24672,"name Blooom Energy balls Apple pie name_search blooom energy balls apple pie synonyms granenreep, koek brands Blooom brands_search blooom bron Blooom categories extra"
24673,"name Blooom Energy balls Berries name_search blooom energy balls berries synonyms granenreep, koek brands Blooom brands_search blooom bron Blooom categories sportvoeding"
24674,"name Belvita ontbijt soft baked rode vruchten synonyms koek, ontbijtkoek bron LU"
24675,"name Belvita meergranen name_search belvita meergranen synonyms koek, ontbijtkoek brands LU brands_search lu bron LU categories extra"
24676,name Belvita minis chocolade name_search belvita minis chocolade synonyms koek brands LU brands_search lu bron LU categories extra
24677,"name Belvita barre moelleuse donkere chocolade en hazelnoot name_search belvita barre moelleuse donkere chocolade en hazelnoot synonyms granenreep, koek brands LU brands_search lu bron LU categories extra"
24678,name Boudoir name_search boudoir remarks Boudoir synonyms koek brands LU brands_search lu bron LU categories extra
24679,name Cent Wafels Original name_search cent wafels original remarks Cent Wafels Original synonyms koek brands LU brands_search lu bron LU categories extra
24680,name Chacha synonyms koek bron LU
24681,name Bio speltkoek met abrikoos name_search bio speltkoek met abrikoos synonyms koek bron Delhaize categories extra
24682,"name Cheerios BIO breakfast cereal bar name_search cheerios bio breakfast cereal bar synonyms granenreep, koek brands NestlÃ© brands_search nestle bron NestlÃ© categories extra"
24683,"name Fitness granenreep perzik-abrikoos name_search fitness granenreep perzik-abrikoos synonyms granenreep, koek brands NestlÃ© brands_search nestle bron NestlÃ© categories extra"
24684,"name Grany appel-abrikoos name_search grany appel-abrikoos remarks Grany pomme-abricot synonyms granenreep, koek brands LU brands_search lu bron LU categories extra"
24685,"name Grany biscuit melkchocolade name_search grany biscuit melkchocolade synonyms granenreep, koek brands LU brands_search lu bron LU categories extra"
24686,"name Grany amandel-abrikoos name_search grany amandel-abrikoos remarks Grany moelleux amande-abricot synonyms granenreep, koek brands LU brands_search lu bron LU categories extra"
24687,name Grany appel biscuit name_search grany appel biscuit synonyms koek brands LU brands_search lu bron LU categories extra
24688,name Petit Beurre Beukelaer original name_search petit beurre beukelaer original remarks Petit Beurre Beukelaer original synonyms koek brands LU brands_search lu bron LU categories extra
24689,name Prince choco quatro name_search prince choco quatro synonyms koek brands LU brands_search lu bron LU categories extra
24690,"name Grany granenreep hazelnoot name_search grany granenreep hazelnoot synonyms granenreep, koek brands LU brands_search lu bron LU categories extra"
24691,"name Koeken, LU glutenvrije name_search koeken, lu glutenvrije synonyms koek brands LU brands_search lu bron LU categories extra"
24692,"name CÃ©rÃ©al Koekjes met appel, framboos en amandel name_search cereal koekjes met appel, framboos en amandel synonyms koek brands CÃ©rÃ©al brands_search cereal bron CÃ©rÃ©al categories extra"
24693,"name CÃ©rÃ©al Hazelnootreep glutenvrij en lactosevrij name_search cereal hazelnootreep glutenvrij en lactosevrij synonyms glutenvrij, granenreep, koek, lactosevrij brands CÃ©rÃ©al brands_search cereal bron CÃ©rÃ©al categories extra"
24694,"name CÃ©rÃ©al Mini cakes aardbeienvulling glutenvrij en lactosevrij name_search cereal mini cakes aardbeienvulling glutenvrij en lactosevrij synonyms cake, glutenvrij, koek, lactosevrij brands CÃ©rÃ©al brands_search cereal bron CÃ©rÃ©al categories extra"
24695,"name Clusters crunchy choco name_search clusters crunchy choco synonyms granenreep, koek brands NestlÃ© brands_search nestle bron NestlÃ© categories extra"
24696,"name Damhert Koffiewafels (minder suikers, bevat polyolen)) name_search damhert koffiewafels (minder suikers, bevat polyolen)) remarks Damhert Gaufrettes au cafÃ© (avec polyols) synonyms koek, koek met polyolen, wafel brands Damhert  nutrition brands_search damhert  nutrition bron Damhert categories extra"
24697,name Damhert  Lactosevrije haverkoekjes name_search damhert  lactosevrije haverkoekjes synonyms koek brands Damhert  nutrition brands_search damhert  nutrition bron Damhert categories extra
24698,"name Speculaas koek name_search speculaas koek synonyms glutenvrij, koek, koeken brands Generous brands_search generous bron Generous categories extra"
24699,"name Koek, Mini BN aardbei name_search koek, mini bn aardbei remarks BN cookies strawberry synonyms koek brands BN-biscuits brands_search bn-biscuits bron BN-biscuits categories extra"
24700,name Milka Choco snack name_search milka choco snack remarks Milka Choco snack synonyms koek brands Milka brands_search milka bron Milka categories extra
24701,"name Milka Choco twist cake name_search milka choco twist cake remarks Milka Choco twist cake synonyms cake, koek brands Milka brands_search milka bron Milka categories extra"
24702,"name Milka Leo (koek) name_search milka leo (koek) remarks Milka Leo synonyms chocoladewafel, koek brands Milka, Mondelez brands_search milka, mondelez bron Milka categories extra"
24703,"name Milka Tender Moo cake name_search milka tender moo cake remarks Milka Tender Moo cake synonyms cake, koek bron Milka"
24704,name Oreo original name_search oreo original remarks Oreo original synonyms koek brands Oreo brands_search oreo bron Oreo categories extra
24705,name Crunchies dipped name_search crunchies dipped synonyms koek brands Oreo brands_search oreo bron Oreo categories extra
24706,name Banadas chocolade name_search banadas chocolade synonyms koek brands Oreo brands_search oreo bron Oreo categories extra
24707,"name Yofruit aardbei synonyms granenreep, koek bron Sultana"
24708,"name Koek peer-kaneel synonyms granenreep, koek bron Sultana"
24709,"name Sultana koek kokos name_search sultana koek kokos remarks Sultana Biscuit noix de coco synonyms granenreep, koek brands Sultana brands_search sultana bron Sultana categories extra"
24710,"name Sultana koek bosvruchten name_search sultana koek bosvruchten remarks Biscuit aux raisins, parfum fruits rouges synonyms koek, snack, tussendoortje brands Sultana brands_search sultana bron Sultana categories extra"
24711,"name Coco pops reep name_search coco pops reep synonyms granenreep, koek bron Kellogg's"
24712,"name Rice krispies reep name_search rice krispies reep synonyms granenreep, koek brands Kellogg's brands_search kelloggs bron Kellogg's categories extra"
24713,"name Special K pure chocolade granenreep name_search special k pure chocolade granenreep remarks Special K cÃ©rÃ©ales chocolat noir synonyms granenreep, koek brands Kellogg's brands_search kelloggs bron Kellogg's categories extra"
24714,"name Special K granenreep protein zwarte bessen, pompoenpitten, cashewnoten en amandelen name_search special k granenreep protein zwarte bessen, pompoenpitten, cashewnoten en amandelen remarks Special K Barres cÃ©rÃ©ales Protein Cassis Graines de Courge synonyms granenreep, koek, proteinereep brands Kellogg's brands_search kelloggs bron Kellogg's categories extra"
24715,"name Special K granenreep protein kokosnoot, cacao en cashewnoot name_search special k granenreep protein kokosnoot, cacao en cashewnoot remarks Special K Barre protein noix de coco, cacao et noix de cajou synonyms granenreep, koek, proteinereep brands Kellogg's brands_search kelloggs bron Kellogg's categories extra"
24716,"name Protein mini's chocolade en rozijnen name_search protein minis chocolade en rozijnen synonyms granenkoek, granenreep, koek brands Kellogg's brands_search kelloggs bron Kellogg's categories extra"
24717,"name Reep, Nuts & raw fruits bar, cacao en hazelnoten name_search reep, nuts & raw fruits bar, cacao en hazelnoten synonyms granenkoek, granenreep, koek brands Kellogg's brands_search kelloggs bron Kellogg's categories extra"
24718,"name Deluxe snack mix gezouten amandelen, cranberry en pure chocolade name_search deluxe snack mix gezouten amandelen, cranberry en pure chocolade synonyms extra, gedroogd fruit, noten brands Kellogg's brands_search kelloggs bron Kellogg's categories extra"
24719,"name Deluxe snack mix koffiebonen in chocolade, abrikoos en amandelen name_search deluxe snack mix koffiebonen in chocolade, abrikoos en amandelen synonyms extra, gedroogd fruit, noten brands Kellogg's brands_search kelloggs bron Kellogg's categories extra"
24720,name Kinder Cards name_search kinder cards remarks Kinder Cards synonyms koek brands Ferrero brands_search ferrero bron Ferrero categories extra
24721,name Frosties ontbijtgranen name_search frosties ontbijtgranen remarks Frosties cÃ©rÃ©ales synonyms ontbijtgranen brands Kellogg's brands_search kelloggs bron Kellogg's categories aardappelen en graanproducten
24722,"name Nakd fruit & nut bar gezouten karamel/salted caramel name_search nakd fruit & nut bar gezouten karamel/salted caramel remarks Nakd fruit & nut bar salted caramel synonyms granenreep, koek brands Nakd brands_search nakd bron Natural Balance Foods categories extra"
24723,"name Nakd berry delight name_search nakd berry delight synonyms granenreep, koek brands Natural Balance Foods brands_search natural balance foods bron Natural Balance Foods categories extra"
24724,name Nougatti synonyms nougatreep bron CÃ´te d'or
24725,name Nutella biscuits name_search nutella biscuits remarks Nutella biscuits synonyms koek brands Ferrero brands_search ferrero bron Ferrero categories extra
24726,"name Appel biscuit no add name_search appel biscuit no add synonyms granenreep, koek brands Belkorn brands_search belkorn bron Belkorn categories extra"
24727,"name Rood fruit biscuit no add name_search rood fruit biscuit no add synonyms granenreep, koek brands Belkorn brands_search belkorn bron Belkorn categories extra"
24728,name Sprits koeken met chocolade name_search sprits koeken met chocolade remarks Sprits synonyms koek brands Delhaize brands_search delhaize bron Delhaize categories extra
24729,"name Vitabis name_search vitabis remarks Vitabis synonyms kinderkoek, koek brands LU brands_search lu bron LU categories extra"
24730,"name Vitabran zemelenkoek bio name_search vitabran zemelenkoek bio synonyms granenreep, koek brands Ceval brands_search ceval bron Ceval categories extra"
24731,"name Yes dark choc, banana & pecan name_search yes dark choc, banana & pecan remarks Yes dark choc, banana & pecan synonyms fruiten- en notenbar, granenreep, koek brands NestlÃ© brands_search nestle bron NestlÃ© categories extra"
24732,"name Yes, dark choc nut bars name_search yes, dark choc nut bars remarks Yes, dark choc nut bars synonyms granenreep, koek brands NestlÃ© brands_search nestle bron NestlÃ© categories extra"
24733,"name Lion granenreep breakfast cereal bar name_search lion granenreep breakfast cereal bar remarks Lion breakfast cereal bar synonyms granenreep, koek brands NestlÃ© brands_search nestle bron NestlÃ© categories extra"
24734,"name Graanreep (volkoren) Nesquik remarks Barre de cÃ©rÃ©ales Nesquik synonyms granenreep, koek bron NestlÃ©"
24735,"name Glutenvrije cacao wafels name_search glutenvrije cacao wafels synonyms glutenvrij, granenreep, koek, lactosevrij brands SchÃ¤r brands_search schar bron SchÃ¤r categories extra"
24736,"name Muesli en abrikoos granenreep, sugar reduced name_search muesli en abrikoos granenreep, sugar reduced remarks bevat 22 g polyolen/100 g product synonyms granenreep, koek, verminderd suiker brands Sweet switch brands_search sweet switch bron Sweet switch categories extra"
24737,"name Quaker Havermoutkoek name_search quaker havermoutkoek remarks Quaker biscuit de flocons d'avoine synonyms granenreep, havermout, koek brands Quaker brands_search quaker bron Quaker categories extra"
24738,"name Bio Fruitreep name_search bio fruitreep synonyms fruitreep, granenkoek, granenreep, koek brands Trader Joe's brands_search trader joes bron Trader Joe's categories extra"
24739,"name Marshmallow dark chocolate name_search marshmallow dark chocolate synonyms granenkoek, granenreep, koek brands Baru brands_search baru bron Baru categories extra"
24740,name Chocolade koetjesreep name_search chocolade koetjesreep synonyms chocolade brands Koetjesreep brands_search koetjesreep bron Koetjesreep categories extra
24741,"name Chocomousse name_search chocomousse synonyms chocomousse, dr. oetker chocolademousse, mouss au chocolat brands Dr. Oetker brands_search dr. oetker bron Dr. Oetker categories extra"
24742,"name Studentenhaver met rozijnen name_search studentenhaver met rozijnen remarks Noix et fruits sÃ©chÃ©s synonyms noten, notenmengeling met rozijnen, rozijnen bron Delhaize categories fruit, noten en zaden"
24743,"name Soep vers bereid, gemiddeld name_search soep vers bereid, gemiddeld synonyms pompoen, prei, soep, tomaten, vis, witloof bron Nubel (berekend) categories dranken, groenten"
24744,"name Soep industrieel bereid, brik of blik (gemiddeld) name_search soep industrieel bereid, brik of blik (gemiddeld) synonyms soep uit brik of blik bron Nubel (berekend) categories dranken, groenten"
24745,"name Fruit, op sap in blik/glas (gemiddeld) name_search fruit, op sap in blik/glas (gemiddeld) synonyms fruit, fruit op sap, fruitsla bron Nubel (berekend) categories fruit"
24746,"name Fruitmoes (gemiddeld) name_search fruitmoes (gemiddeld) remarks Compote (en moyenne) synonyms abrikozenmoes, appelmoes, bosbessenmoes, compote, fruitmoes, kersenmoes, perzikenmoes, pruimenmoes bron Nubel (berekend) categories fruit"
24747,"name Fruit gedroogd (gemiddeld) name_search fruit gedroogd (gemiddeld) synonyms fruit, gedroogd fruit bron Nubel (berekend) categories fruit"
24748,name kokosmelk synonyms plantaardige melk bron Alpro
24749,"name Yoghurt, mager, Griekse name_search yoghurt, mager, griekse remarks Authentique yaourt grec,maigre synonyms dessert, griekse magere yoghurt, yoghurt brands Mevgal brands_search mevgal bron Mevgal categories melkproducten en vervangers"
24750,"name Activia yoghurt perzik 0% vet en 0% suiker name_search activia yoghurt perzik 0% vet en 0% suiker synonyms dessert, yoghurt brands Danone brands_search danone bron Danone categories melkproducten en vervangers"
24751,"name Activia yoghurt mango name_search activia yoghurt mango synonyms dessert, yoghurt brands Danone brands_search danone bron Danone categories melkproducten en vervangers"
24752,"name Activia yoghurt vijg name_search activia yoghurt vijg synonyms dessert, yoghurt brands Danone brands_search danone bron Danone categories melkproducten en vervangers"
24753,"name Activia yoghurt aardbei, framboos, dadel zonder toegevoegde suiker name_search activia yoghurt aardbei, framboos, dadel zonder toegevoegde suiker synonyms dessert, yoghurt brands Danone brands_search danone bron Danone categories melkproducten en vervangers"
24754,"name Activia mix & go, yoghurt met maÃ¯s en tarwevlokken name_search activia mix & go, yoghurt met mais en tarwevlokken synonyms mais- en tarwevlokken, yoghurt, yoghurt met granen brands Danone brands_search danone bron Danone categories aardappelen en graanproducten, melkproducten en vervangers"
24755,"name Activia yoghurt zonder toegevoegde suikers peer, vijg en chiazaad name_search activia yoghurt zonder toegevoegde suikers peer, vijg en chiazaad synonyms dessert, yoghurt brands Danone brands_search danone bron Danone categories melkproducten en vervangers"
24756,"name Hipro bosbessen name_search hipro bosbessen remarks Hipro myrtilles synonyms dessert, proteinen, yoghurt brands Danone brands_search danone bron Danone categories melkproducten en vervangers"
24757,"name Danonino platte kaas aardbei-banaan name_search danonino platte kaas aardbei-banaan synonyms fruitkaas, platte kaas brands Danone brands_search danone bron Danone categories melkproducten en vervangers"
24758,"name Oikos, yoghurt vijg-honing op Griekse wijze name_search oikos, yoghurt vijg-honing op griekse wijze synonyms dessert, yoghurt brands Danone brands_search danone bron Danone categories melkproducten en vervangers"
24759,"name Alpro, plantaardig alternatief voor kwark mango name_search alpro, plantaardig alternatief voor kwark mango synonyms dessert, vervanger voor kwark brands Alpro brands_search alpro bron Alpro categories melkproducten en vervangers"
24760,"name Alpro, pudding, soja (smaken: vanille, caramel, chocolade) name_search alpro, pudding, soja (smaken: vanille, caramel, chocolade) synonyms caramel, chocolade, dessert, pudding, sojadessert, vanille brands Alpro brands_search alpro bron Alpro categories melkproducten en vervangers"
24761,"name Alpro, pudding, soja dessert chocolade-hazelnoot name_search alpro, pudding, soja dessert chocolade-hazelnoot synonyms dessert, nagerecht, pudding, sojadessert brands Alpro brands_search alpro bron Alpro categories melkproducten en vervangers"
24762,"name Alpro, pudding, dessert moments hazelnoot-chocolade name_search alpro, pudding, dessert moments hazelnoot-chocolade synonyms dessert, nagerecht, pudding, sojapudding brands Alpro brands_search alpro bron Alpro categories melkproducten en vervangers"
24763,"name Alpro, sojadrink natuur name_search alpro, sojadrink natuur synonyms melkvervanger, sojaproduct brands Alpro brands_search alpro bron Alpro categories dranken, melkproducten en vervangers"
24764,"name Alpro, sojadrink, chocoladesmaak name_search alpro, sojadrink, chocoladesmaak synonyms chocolademelk, melkvervanger, sojaproduct brands Alpro brands_search alpro bron Alpro categories dranken, melkproducten en vervangers"
24765,"name Alpro, sojadrink light synonyms melkvervanger, sojaproduct bron Alpro"
24766,"name Alpro, sojadrink, light chocoladesmaak name_search alpro, sojadrink, light chocoladesmaak synonyms chocolademelk, melkvervanger, sojaproduct brands Alpro brands_search alpro bron Alpro categories dranken, melkproducten en vervangers"
24767,"name Alpro natuur plantaardig alternatief voor yoghurt name_search alpro natuur plantaardig alternatief voor yoghurt remarks Alpro nature  alternative vÃ©gÃ©tale au yaourt synonyms sojayoghurt, vervanger yoghurt, yaourt, yaourt soja brands Alpro brands_search alpro bron Alpro categories dranken, melkproducten en vervangers"
24768,"name Alpro, plantaardig alternatief voor yoghurt, mango name_search alpro, plantaardig alternatief voor yoghurt, mango synonyms melkvervanger, vervanger yoghurt brands Alpro brands_search alpro bron Alpro categories dranken, melkproducten en vervangers"
24769,"name Alpro, plantaardig alternatief voor yoghurt, kers name_search alpro, plantaardig alternatief voor yoghurt, kers brands Alpro brands_search alpro bron Alpro categories melkproducten en vervangers"
24770,"name Alpro, Kokosnoot drink original name_search alpro, kokosnoot drink original synonyms plantaardige drank brands Alpro brands_search alpro bron Alpro categories dranken"
24771,"name Alpro, rijstdrink original name_search alpro, rijstdrink original synonyms plantaardige drank, rijstdrank brands Alpro brands_search alpro bron Alpro categories dranken"
24772,"name Alpro Amandel drink ongezoet geroosterd name_search alpro amandel drink ongezoet geroosterd remarks Alpro, almond no sugars synonyms plantaardige drank brands Alpro brands_search alpro bron Alpro categories dranken"
24773,name Ayran name_search ayran synonyms yoghurtdrank brands Yayck brands_search yayck bron Yayck categories melkproducten en vervangers
24774,"name Choco met verlaagd suikergehalte, puur name_search choco met verlaagd suikergehalte, puur remarks PÃ¢te Ã  tartiner fondant synonyms choco met verlaagd suikergehalte brands Balade brands_search balade bron Balade categories broodbeleg"
24775,"name Damhert Choco duetto met minder suikers (bevat 45,5g polyolen/100g) name_search damhert choco duetto met minder suikers (bevat 45,5g polyolen/100g) remarks Damhert Choco duetto avec maltitol (45,5g polyols/100g) synonyms choco met maltitol, choco met verlaagd suikergehalte brands Damhert  nutrition brands_search damhert  nutrition bron Damhert categories broodbeleg"
24776,name Damhert Chocopasta Tagatose name_search damhert chocopasta tagatose remarks Damhert PÃ¢te Ã  tartiner Tagatose synonyms choco met tagatose brands Damhert  nutrition brands_search damhert  nutrition bron Damhert categories broodbeleg
